date,USD,SAR,MYR,SGD,THB,TRY,JPY,VND,IDR
2024-02-13,0.272294,1.0212,1.297767,0.367896,9.828747,8.367031,41.043866,6650.787233,4266.578717
2024-02-14,0.272264,1.021087,1.302919,0.366959,9.825056,8.373507,40.988124,6650.048689,4256.017548
2024-02-15,0.272265,1.020927,1.301562,0.366371,9.815093,8.391117,40.825669,6660.272787,4268.836669
2024-02-16,0.272254,1.021006,1.301477,0.367532,9.732816,8.396748,40.899358,6678.389005,4262.298691
2024-02-17,0.272264,1.021044,1.301525,0.367546,9.73318,8.397062,40.900887,6678.638604,4262.457991
2024-02-18,0.272268,1.021309,1.301347,0.366309,9.790886,8.397417,40.867654,6678.728128,4262.515128
2024-02-19,0.272265,1.021113,1.303331,0.36657,9.836809,8.4056,40.913895,6680.694682,4258.491922
2024-02-20,0.272261,1.021037,1.306524,0.365842,9.798817,8.416983,40.823865,6679.916349,4265.780695
2024-02-21,0.272255,1.020903,1.305451,0.365906,9.769597,8.445749,40.935131,6679.769739,4262.964523
2024-02-22,0.272259,1.021173,1.300717,0.365589,9.784893,8.461868,40.970732,6698.247809,4245.644998
2024-02-23,0.272261,1.021129,1.300726,0.365656,9.782427,8.390716,40.97116,6708.503276,4245.673959
